Date,^GSPC,r,f
1990-04-09,341.3699951171875,0.0037932503994844158,0.19313711308600728
1990-04-10,342.07000732421875,0.0020505967631716526,-0.21068813254871432
1990-04-11,341.9200134277344,-0.0004384888861133085,0.20665265640693353
1990-04-12,344.3399963378906,0.007077628729292629,0.5973243974031204
1990-04-16,344.739990234375,0.001161624849678633,0.950188416278457
1990-04-17,344.67999267578125,-0.0001740371302817456,0.6351799001288889
1990-04-18,340.7200012207031,-0.01148889270983311,-0.11493185417986694
1990-04-19,338.0899963378906,-0.007718962413095665,-0.3017191711706807
1990-04-20,335.1199951171875,-0.008784646848097988,-0.9689765923381344
1990-04-23,331.04998779296875,-0.01214492535068079,-1.6877793989605774
1990-04-24,330.3599853515625,-0.002084284751092569,-2.11016397146243
1990-04-25,332.0299987792969,0.005055132285337605,-0.7607546261344039
1990-04-26,332.9200134277344,0.0026805248071246623,-0.41671957730108333
1990-04-27,329.1099853515625,-0.011444274668092058,-0.4527087406850176
1990-04-30,330.79998779296875,0.005135068872495374,-0.01887545816661489
1990-05-01,332.25,0.004383350243467143,0.1632911859617434
1990-05-02,334.4800109863281,0.006711846459979354,0.20244645371410286
1990-05-03,335.57000732421875,0.003258778707512011,0.21730769695750476
1990-05-04,338.3900146484375,0.00840363340783945,2.7658592747578807
1990-05-07,340.5299987792969,0.006324016780112851,2.877013619565362
1990-05-08,342.010009765625,0.004346198548244029,2.8639307438611565
1990-05-09,342.8599853515625,0.002485235992127688,2.0648218198309287
1990-05-10,343.82000732421875,0.0028000408728707793,1.9547241611461894
1990-05-11,352.0,0.0237914970086881,0.8846737997835042
1990-05-14,354.75,0.0078125,0.9221919402861759
1990-05-15,354.2799987792969,-0.0013248801147375255,0.7204626684902251
1990-05-16,354.0,-0.000790331885123785,0.6237298203096409
1990-05-17,354.4700012207031,0.0013276870641332206,0.5867927162371737
1990-05-18,354.6400146484375,0.0004796271254234874,0.40795495113966396
1990-05-21,358.0,0.009474354874740687,0.4169497631507068
1990-05-22,358.42999267578125,0.0012010968597242488,0.5736098963106315
1990-05-23,359.2900085449219,0.0023993970558109368,0.8051754369666094
1990-05-24,358.4100036621094,-0.0024492884908667856,0.5012748796080202
1990-05-25,354.5799865722656,-0.01068613334089441,-0.001644199793326199
1990-05-29,360.6499938964844,0.01711886613482516,0.15001081252837492
1990-05-30,360.8599853515625,0.0005822583075889565,0.13765287150114824
1990-05-31,361.2300109863281,0.0010253994618028006,0.11066792450058208
1990-06-01,363.1600036621094,0.005342835913636934,0.26720957911362825
1990-06-04,367.3999938964844,0.011675267627544006,1.0016191694911603
1990-06-05,366.6400146484375,-0.002068533643636905,0.6157201251231277
1990-06-06,364.9599914550781,-0.0045822145053379115,0.35452744557502464
1990-06-07,363.1499938964844,-0.004959441037296619,0.14967219185907624
1990-06-08,358.7099914550781,-0.012226359675148069,-0.27804570634451503
1990-06-11,361.6300048828125,0.008140318076699238,-0.42685565426031913
1990-06-12,366.25,0.012775475084498611,-0.016547047717033973
1990-06-13,364.8999938964844,-0.0036860234908276945,0.0008611191376886673
1990-06-14,362.8999938964844,-0.005480953777618813,-0.009292605731696966
1990-06-15,362.9100036621094,2.7582710921292275e-05,0.3007200971485671
1990-06-18,356.8800048828125,-0.01661568630913568,-0.24495596190132954
1990-06-19,358.4700012207031,0.0044552687629915155,-0.5401209147292813
1990-06-20,359.1000061035156,0.0017574828595618985,-0.37986917875659254
1990-06-21,360.4700012207031,0.0038150796265723486,-0.15026408235487781
1990-06-22,355.42999267578125,-0.013981769711361003,-0.39937159578961295
1990-06-25,352.30999755859375,-0.008778086209605629,-0.3056571778931021
1990-06-26,352.05999755859375,-0.0007096023437666021,-0.47552906347838086
1990-06-27,355.1400146484375,0.008748557379999244,-0.23645779057337718
1990-06-28,357.6300048828125,0.00701129169248893,-0.1567897426884417
1990-06-29,358.0199890136719,0.0010904681529368965,0.2116600031273024
1990-07-02,359.5400085449219,0.004245627556823228,1.033189733828099
1990-07-03,360.1600036621094,0.0017244120332995383,1.38036414373046
1990-07-05,355.67999267578125,-0.01243894641485821,0.04349054849063087
1990-07-06,358.4200134277344,0.0077036122592668566,0.06064784179734111
1990-07-09,359.5199890136719,0.003068956935238898,0.11093853091473393
1990-07-10,356.489990234375,-0.008427900734002458,-0.19884489412591538
1990-07-11,361.2300109863281,0.013296364222840529,0.05912682438688014
1990-07-12,365.44000244140625,0.011654600467948084,0.6268170982207502
1990-07-13,367.30999755859375,0.00511710569366941,0.5733651191189152
1990-07-16,368.95001220703125,0.004464933324271669,0.6095339354590955
1990-07-17,367.5199890136719,-0.003875926673115093,0.8996504205096246
1990-07-18,364.2200012207031,-0.008979070231867059,0.2065193359170482
1990-07-19,365.32000732421875,0.003020169402638162,-0.00823204697716492
1990-07-20,361.6099853515625,-0.01015554006973296,-0.46335454159399797
1990-07-23,355.30999755859375,-0.0174220515145449,-0.983573600818526
1990-07-24,355.7900085449219,0.0013509639177800015,-0.754632925649428
1990-07-25,357.0899963378906,0.003653806351351152,-0.4153923392024567
1990-07-26,355.9100036621094,-0.0033044685874221713,-0.5987782063342294
1990-07-27,353.44000244140625,-0.006939960089034414,-0.5465462650894843
1990-07-30,355.54998779296875,0.005969854393921725,0.02787514124093783
1990-07-31,356.1499938964844,0.0016875435919434523,0.04055781373546708
1990-08-01,355.5199890136719,-0.0017689313312064803,-0.17700020134051891
1990-08-02,351.4800109863281,-0.011363574910518981,-0.36210467122271617
1990-08-03,344.8599853515625,-0.01883471442995699,-0.4818197925834747
