Quantity,Model,Mean,Standard deviation
Final wealth,GP,11.238022065764605,100.25246893176003
Final wealth,M,-173.19513626538392,253.086565390742
Final wealth,RL,8.551684231674544,101.88437929341684
Final value,GP,20.994326625675463,100.595817690817
Final value,M,66.96386827793103,250.75295119613966
Final value,RL,15.704621627013502,102.2544128762993
Final cost,GP,9.756304559910857,3.9201064399913594
Final cost,M,240.15900454331498,48.4360769738733
Final cost,RL,7.152937395338957,3.7614707935507754
