Quantity,Model,Mean,Standard deviation
Final wealth,GP,4.559255357195088,1813.9255665679332
Final wealth,M,-6992.227990243378,4715.589882200291
Final wealth,RL,209.82418562533664,2477.5679663889127
Final value,GP,439.74682962581494,1835.26252940117
Final value,M,1459.5943806445266,4445.944048812483
Final value,RL,673.7057449134708,2630.2457391138764
Final cost,GP,435.1875742686198,191.0507452788023
Final cost,M,8451.822370887905,2222.22079404559
Final cost,RL,463.88155928813404,468.4285296565159
