Quantity,Model,Mean,Standard deviation
Final wealth,GP,-43.485547981261696,1581.7369491049265
Final wealth,M,-6242.0451361858295,4112.537113468535
Final wealth,RL,219.73710088023026,2497.7454532853894
Final value,GP,312.06164030932723,1585.5931240699024
Final value,M,1077.1794741048413,3929.44418431005
Final value,RL,685.2297845613439,2600.5936664564315
Final cost,GP,355.5471882905889,133.53997336286253
Final cost,M,7319.22461029067,1472.1852465472168
Final cost,RL,465.49268368111353,358.7829051981779
