Quantity,Model,Mean,Standard deviation
Final wealth,GP,10.090355997033173,94.79985640292507
Final wealth,M,-156.84154872114206,239.57536761753664
Final wealth,RL,2.547175202307033,117.49503280731636
Final value,GP,18.89410681703935,95.08043265519115
Final value,M,60.48799391977027,237.46155177204125
Final value,RL,11.115888763522282,117.70735461412306
Final cost,GP,8.803750820006178,3.512509112712442
Final cost,M,217.3295426409123,43.814556777952674
Final cost,RL,8.56871356121525,5.438526742480885
