,agent_type,statistic,mean,std
0,Markowitz,sharpe_ratio,0.09096606705979562,2.3929815992283516
1,Markowitz,cost,0.0450847576486276,0.03782272184965158
2,Markowitz,risk,0.33168145690261225,0.2832782400606889
3,Markowitz,value,0.5438927936010287,16.765116699030727
4,Markowitz,wealth,0.49880803595240114,16.766299103758058
5,Markowitz,wealth_net_risk,0.16712657904978884,16.7721398234294
6,GP,sharpe_ratio,0.10077070573877102,2.3986517900780564
7,GP,cost,0.12466828600042054,0.10528263989415537
8,GP,risk,0.19390509240783418,0.15232522290961983
9,GP,value,0.5221671348442083,12.675439943504955
10,GP,wealth,0.3974988488437877,12.676771447256183
11,GP,wealth_net_risk,0.20359375643595348,12.68145518622836
12,RL,sharpe_ratio,0.1333899662038294,2.357189122550778
13,RL,cost,0.2661316595416943,0.10995023102836388
14,RL,risk,0.4047701960004461,0.2772273957168251
15,RL,value,1.3796903736298103,19.075275170440367
16,RL,wealth,1.113558714088116,19.0764607890202
17,RL,wealth_net_risk,0.7087885180876698,19.065332679168435
