,agent_type,statistic,mean,std
0,Markowitz,sharpe_ratio,0.07755646999440843,2.3923251841967157
1,Markowitz,cost,0.04465923575941527,0.014246845275870267
2,Markowitz,risk,0.3143637230365341,0.24467424234885493
3,Markowitz,value,0.5716326888164557,17.06175782065385
4,Markowitz,wealth,0.5269734530570404,17.061939813286497
5,Markowitz,wealth_net_risk,0.2126097300205063,17.059330953250026
6,GP,sharpe_ratio,0.07766470049804913,2.3874991950149758
7,GP,cost,0.1236914991181723,0.034311172502491764
8,GP,risk,0.18636836107788127,0.11230439847699497
9,GP,value,0.52792827759985,13.011611732376304
10,GP,wealth,0.4042367784816776,13.011750937922269
11,GP,wealth_net_risk,0.21786841740379637,13.01019975046203
12,RL,sharpe_ratio,-0.05312356284388704,2.4034946440122975
13,RL,cost,0.12226259760391422,0.021590271279754637
14,RL,risk,0.5960352599014946,0.21216185583114894
15,RL,value,-0.3341931461916783,23.171648348937925
16,RL,wealth,-0.4564557437955925,23.1715834936664
17,RL,wealth_net_risk,-1.0524910036970871,23.17203946101042
