,agent_type,statistic,mean,std
0,Markowitz,sharpe_ratio,0.08773258298947141,2.3461301902565252
1,Markowitz,cost,0.04488911656559976,0.01460731366100904
2,Markowitz,risk,0.31249604835332573,0.24747431131472467
3,Markowitz,value,0.8156049419326729,16.528834648586898
4,Markowitz,wealth,0.7707158253670732,16.52854674036639
5,Markowitz,wealth_net_risk,0.45821977701374744,16.51727231733852
6,GP,sharpe_ratio,0.09701577206723619,2.35444121046631
7,GP,cost,0.1246350009090944,0.03517957119873738
8,GP,risk,0.18567401881091233,0.11445062819601513
9,GP,value,0.7296878905200047,12.78131842279155
10,GP,wealth,0.6050528896109102,12.781111401272671
11,GP,wealth_net_risk,0.4193788707999978,12.776492327428487
12,RL,sharpe_ratio,-0.07566894970318402,2.3561639309060864
13,RL,cost,0.07154998448974695,0.032010910355184
14,RL,risk,0.8230218947853378,0.689447494533277
15,RL,value,-0.5368617429170758,26.85440335486001
16,RL,wealth,-0.6084117274068228,26.85435026068991
17,RL,wealth_net_risk,-1.4314336221921606,26.863741680563297
