DATE,VALUE
1980-01-01,109.8373209635410
1980-04-01,110.4934641520180
1980-07-01,138.3136698404950
1980-10-01,144.2189025878910
1981-01-01,145.7936299641930
1981-04-01,140.5445353190110
1981-07-01,126.8968861897790
1981-10-01,109.1811828613280
1982-01-01,113.3804677327470
1982-04-01,115.8737818400070
1982-07-01,103.4071833292650
1982-10-01,99.7328135172524
1983-01-01,116.9236017862960
1983-04-01,134.1143900553390
1983-07-01,146.9746805826820
1983-10-01,145.9248606363930
1984-01-01,141.7255808512370
1984-04-01,146.9746805826820
1984-07-01,137.1326192220050
1984-10-01,117.4485066731770
1985-01-01,119.9418258666990
1985-04-01,117.7109629313150
1985-07-01,107.4752273559570
1985-10-01,104.1945444742840
1986-01-01,104.0633188883460
1986-04-01,103.9320856730140
1986-07-01,74.9308344523112
1986-10-01,68.2382456461589
1987-01-01,68.8943786621094
1987-04-01,78.4739761352539
1987-07-01,73.4873377482096
1987-10-01,81.2297541300455
1988-01-01,88.1848017374675
1988-04-01,99.9952748616537
1988-07-01,122.3039194742840
1988-10-01,117.3172836303710
1989-01-01,118.3239390055340
1989-04-01,115.3488744099930
1989-07-01,103.9320907592770
1989-10-01,107.8689142862960
1990-01-01,107.3439992268880
1990-04-01,119.9418334960940
1990-07-01,109.0499572753910
1990-10-01,100.7826334635420
1991-01-01,106.9503122965490
1991-04-01,107.0264358520510
1991-07-01,108.2339452107750
1991-10-01,107.6806233723960
1992-01-01,113.3974024454750
1992-04-01,109.4783248901370
1992-07-01,99.3835550944010
1992-10-01,94.5919494628906
1993-01-01,95.2948252360026
1993-04-01,97.4787521362306
1993-07-01,101.0777537028000
1993-10-01,114.3085301717120
1994-01-01,123.4909184773760
1994-04-01,112.0336964925130
1994-07-01,97.4978281656901
1994-10-01,98.0903167724609
1995-01-01,107.8345006306970
1995-04-01,113.8585027058920
1995-07-01,128.0398864746090
1995-10-01,144.0723724365230
1996-01-01,164.1147054036460
1996-04-01,196.5570933024090
1996-07-01,176.5597483317060
1996-10-01,120.8602167765300
1997-01-01,122.7673161824540
1997-04-01,118.6350199381510
1997-07-01,110.2028834025060
1997-10-01,117.0844472249350
1998-01-01,113.9421437581380
1998-04-01,104.8021596272790
1998-07-01,91.6590449015300
1998-10-01,96.0680160522461
1999-01-01,96.1474428598937
1999-04-01,93.2341853429705
1999-07-01,85.7004128812358
1999-10-01,86.0942165064439
2000-01-01,94.4014150337500
2000-04-01,91.7031461160147
2000-07-01,76.8161608747464
2000-10-01,89.9561953307972
2001-01-01,92.5623005545113
2001-04-01,85.2610851969955
2001-07-01,91.1258965562306
2001-10-01,89.4872695131912
2002-01-01,90.8510345126209
2002-04-01,90.2025843062642
2002-07-01,107.8441528869050
2002-10-01,108.4352959301240
2003-01-01,105.6180242836360
2003-04-01,106.6878607142860
2003-07-01,100.3790981260770
2003-10-01,108.0615264692260
2004-01-01,122.1410609630960
2004-04-01,128.6415766553290
2004-07-01,102.0916358985260
2004-10-01,94.2371284990750
2005-01-01,96.7625772453828
2005-04-01,96.4071441167801
2005-07-01,100.4090313235270
2005-10-01,100.0438496612810
2006-01-01,104.8372642473370
2006-04-01,109.3134136923410
2006-07-01,116.5674930357140
2006-10-01,155.6371650297620
2007-01-01,170.6580022444500
2007-04-01,157.8433624093920
2007-07-01,152.7314831531960
2007-10-01,171.8022788317880
2008-01-01,220.1113984249690
2008-04-01,259.0801092028060
2008-07-01,245.3380184874710
2008-10-01,168.4617912052540
2009-01-01,166.9672851382220
2009-04-01,175.9493599348070
2009-07-01,151.4473332341270
2009-10-01,167.8037515448000
2010-01-01,162.6176845026210
2010-04-01,158.1020100623580
2010-07-01,181.7871321145120
2010-10-01,241.5218075198410
2011-01-01,283.0147656992830
2011-04-01,312.5420163839290
2011-07-01,302.4183944972830
2011-10-01,269.1478270025510
2012-01-01,277.6558136458330
2012-04-01,270.0739173767010
2012-07-01,328.6135130366690
2012-10-01,317.2974470864660
2013-01-01,305.0935231427660
2013-04-01,290.8737700775380
2013-07-01,240.4081145386900
2013-10-01,199.4531137270260
2014-01-01,210.1242259525300
2014-04-01,213.9474978741500
2014-07-01,173.9036187996030
2014-10-01,173.5484285180740
2015-01-01,174.2099049718040
2015-04-01,168.3564428380100
2015-07-01,169.4492019274380
2015-10-01,167.1237990679820
2016-01-01,159.9469641854640
2016-04-01,171.0695902423470
2016-07-01,153.4473723282990
2016-10-01,152.1813004736390
2017-01-01,160.6114341411460
2017-04-01,157.6631054511280
