DATE,VALUE
1992-01-01,0.344
1993-01-01,0.312
1994-01-01,0.300
1995-01-01,0.321
1996-01-01,0.423
1997-01-01,0.374
1998-01-01,0.260
1999-01-01,0.342
2000-01-01,0.581
2001-01-01,0.473
2002-01-01,0.410
2003-01-01,0.576
2004-01-01,0.742
2005-01-01,0.914
2006-01-01,1.014
2007-01-01,1.210
2008-01-01,1.413
2009-01-01,0.844
2010-01-01,1.163
2011-01-01,1.464
2012-01-01,1.005
2013-01-01,1.002
2014-01-01,1.038
2015-01-01,0.457
2016-01-01,0.486
2017-01-01,0.764
