DATE,VALUE
1980-01-01,80.8100842732584
1981-01-01,72.6988745330702
1982-01-01,89.4330393473307
1983-01-01,78.2146797180176
1984-01-01,73.4273363749186
1985-01-01,72.2951622009277
1986-01-01,75.2174396514893
1987-01-01,88.5971317291259
1988-01-01,103.4071019490560
1989-01-01,106.2082430521650
1990-01-01,123.5612589518230
1991-01-01,125.6707146962480
1992-01-01,152.4654146830240
1993-01-01,217.9341545104980
1994-01-01,201.2311770121260
1995-01-01,193.8388697306320
1996-01-01,204.0736376444500
1997-01-01,185.3059717814130
1998-01-01,159.1008172791370
1999-01-01,164.5443621607630
2000-01-01,180.7748594033980
2001-01-01,157.7239166666670
2002-01-01,145.9179166666670
2003-01-01,145.5685833333330
2004-01-01,173.6810000000000
2005-01-01,181.5427500000000
2006-01-01,187.0027500000000
2007-01-01,151.2606666666670
2008-01-01,147.3231666666670
2009-01-01,136.6509166666670
2010-01-01,141.4602500000000
2011-01-01,149.9860833333330
2012-01-01,147.9965833333330
2013-01-01,164.5362500000000
2014-01-01,174.2515000000000
2015-01-01,161.9916666666670
2016-01-01,156.8148333333330
