ticker,factorDynamicsType,autocorr_lag_0,autocorr_lag_1,autocorr_lag_2,autocorr_lag_3,autocorr_lag_4,autocorr_lag_5,autocorr_lag_6,autocorr_lag_7,autocorr_lag_8,autocorr_lag_9,autocorr_lag_10,autocorr_lag_11,autocorr_lag_12,autocorr_lag_13,autocorr_lag_14,autocorr_lag_15,autocorr_lag_16,autocorr_lag_17,autocorr_lag_18,autocorr_lag_19
cocoa,AR_TARCH,1.0,-0.0011670443869718496,0.01534733597342892,-0.011157877663841246,-0.047662421417267425,0.20475800964189683,-0.00914732214582753,0.0008188336748218178,-0.01595360901876591,-0.033106288125551615,-0.05319853294154638,-0.0554525971999883,-0.023852627155804836,-0.006207793371211652,0.03809493676618079,0.009703272691245872,-0.029777958363226158,-0.04665219941731017,-0.019842345633692058,-0.008174578945439848
cocoa,AR,1.0,0.16587883390732525,0.17373086059793472,0.14316903807132475,0.10858124478324077,0.343665760307727,0.12020598228464432,0.13476008180442295,0.10590525330660616,0.08370637385165391,0.06641034785321229,0.0660886152440552,0.08389848744021025,0.0942593457397544,0.13040122143622881,0.11722249185014899,0.0819192982086305,0.05993516418432753,0.08746362907235791,0.10127371886214083
cocoa,SETAR,0.9999999999999999,0.20273346705270492,0.17050869852100423,0.1443416833354304,0.15759880736524876,0.2346951689743148,0.09835014564604282,0.09515598729730779,0.10205561917727064,0.06054996294032122,0.053565507472310835,0.06129136452416724,0.05663819061716934,0.06657332797219696,0.0923177636041228,0.06946737907457225,0.0663941006661933,0.04447030079670535,0.07878369704911596,0.07225219615215112
cocoa,GARCH,1.0,-0.015403766148118992,-0.021940637025234605,-0.04913277819011565,-0.07028364947526403,0.2903129785307082,-0.0022134546163424655,0.016105038108513225,-0.01769333944689775,-0.02338206274386243,-0.05800505518755358,-0.06130109977807089,-0.023816815134895204,-0.000557623874599821,0.05078909653542787,0.010747362245986483,-0.027834769049345863,-0.057043000431734985,-0.030336940320925487,-0.004010215702999658
cocoa,TARCH,1.0,-0.015187522466586318,-0.022057552074458676,-0.04897126928553795,-0.07010677863292067,0.2900867098020425,-0.002087710511764046,0.016066489561913595,-0.017521139953514283,-0.023198109162509445,-0.05776176967483565,-0.06120703451425764,-0.02376612103457624,-0.0005977625876562517,0.050931711746934435,0.010807254771187156,-0.02772250542025844,-0.05676361447051285,-0.03027884949756122,-0.003880966280403534
coffee,TARCH,0.9999999999999999,-0.008519217819475212,-0.03091646262569493,-0.025515603319975953,-0.06211400709646126,0.3060370467585485,-0.014617363198061816,0.010968047474020356,0.006025132973385827,-0.03815158741292822,-0.044780918885842964,-0.05593175969363981,-0.0417746782451658,-0.012862634612630493,0.033412858770666985,-0.006447300407606637,-0.010940839198618848,-0.04736297026139364,-0.052328535850938045,-0.018856229723815756
coffee,AR,1.0,0.19426876504229573,0.1636412057259976,0.17585724837010513,0.13823781080373732,0.3699701020718416,0.14746345388066806,0.15781724496043828,0.1643955132318837,0.10052432544899632,0.10499708069771706,0.10641108231727014,0.1055463755629979,0.12828189141690693,0.1476635650893182,0.12140421076836844,0.11096143961139827,0.08022625785982888,0.093991716994388,0.08956071036248872
coffee,SETAR,1.0,0.22034013690219117,0.19387650748222574,0.19030872883139105,0.19432005671143418,0.24496777617322282,0.12460059693315562,0.1544495597490054,0.1485849236743011,0.11790317505965,0.13412707583333314,0.11555686209193974,0.12749144069367593,0.13508331042851668,0.1529080307186479,0.10053001921307103,0.105759587815628,0.10673933689254757,0.10531566068994844,0.0818927505632677
coffee,GARCH,1.0,-0.008942359825945313,-0.031153403032806226,-0.025864807902803606,-0.0627617581032928,0.3062341373798934,-0.015177450152944064,0.0106537832827182,0.005570349353465231,-0.03873581952302224,-0.04540305717759677,-0.05615598146348822,-0.0419920105339019,-0.012865994353664048,0.03332578727370695,-0.006495129507024574,-0.01117147558223611,-0.047679829048889164,-0.05277319317557618,-0.018707011275115037
coffee,AR_TARCH,1.0,0.011592932287296513,-0.0036339712626346473,0.0012477884583495477,-0.029875883247112267,0.23403493393841482,-0.017155976759149275,0.0048935061912090344,-0.0024074432652164946,-0.03718397096226185,-0.04303777523619381,-0.04297459510685805,-0.02871537772921139,-0.019670063400359525,0.01929278502717827,-0.001555274900925321,-0.01068440311563202,-0.02993628004387196,-0.03939264710180989,-0.03349571807180794
copper,TARCH,0.9999999999999998,0.010165607450609149,-0.04901309950757092,-0.0647425163515863,-0.05274579455822809,0.29053335615465486,0.024978388249056033,0.007295603821316119,0.016385669133498086,-0.006948849840473214,-0.06814324204146023,-0.06108465973747743,-0.03065064887712137,0.0233706074856877,0.04710307635130275,-0.01448797862232043,-0.017955918268259638,-0.04188620525411707,-0.04650252755448626,-0.0355422789757597
copper,AR,1.0,0.1757729194359354,0.1301207966406224,0.13285524394835752,0.1712314862935881,0.37529791228879117,0.1549521660631864,0.1893262723966071,0.16266357456861263,0.16422928049539767,0.12402524892747421,0.1346309045505269,0.12976949264902563,0.17904142714016558,0.21926570175479082,0.12165396046352103,0.15867344409494352,0.12754729867877232,0.1044893316376473,0.12222005011539218
copper,SETAR,0.9999999999999999,0.2328795654014712,0.17443777814252587,0.16634614541679665,0.2073447186037538,0.26343586948573966,0.13171046811301473,0.1464960796798737,0.12047166290631885,0.15988173856564075,0.16490645308583868,0.1353254875036473,0.11293771670351123,0.13788157045406169,0.16828732077259898,0.10635784535691123,0.14230833922483252,0.1489336327778309,0.12163180305889683,0.08738990287158932
