agent_type,chunk_id,sharpe_ratio,final_cost,final_risk,final_value,final_wealth,final_wealth_net_risk
Markowitz,0,0.7626119692508702,0.7448157269672803,1.3606293521519812,10.786795282912058,10.041979555944778,8.681350203792796
Markowitz,1,-0.11346192093739398,0.6110022680251919,1.39521061201202,-0.8263096997650208,-1.4373119677902126,-2.832522579802233
Markowitz,2,-2.357544812141422,0.5004025995681206,2.030186578399854,-33.704019710074455,-34.204422309642574,-36.23460888804243
Markowitz,3,3.3062812197362024,1.853317379796498,2.167147860958533,71.4226031369597,69.5692857571632,67.40213789620466
Markowitz,4,1.779084347182604,1.3305790750161048,2.4067565180996717,46.28371924709491,44.953140172078804,42.546383653979134
Markowitz,5,3.5981014023120363,3.849706050237431,3.9790623465662223,141.37534586393932,137.52563981370187,133.54657746713565
Markowitz,6,-4.188662070510373,1.6587765251924802,6.34139559727703,-262.4551343850603,-264.1139109102528,-270.4553065075298
Markowitz,7,-0.9048154286104815,1.877389419979705,7.541077019049042,-41.61174010839951,-43.489129528379216,-51.03020654742826
GP,0,1.1190634369297425,2.6644488518337255,1.5279621411789135,20.6547489397896,17.990300087955873,16.46233794677696
GP,1,-0.595488773562454,2.163241097848136,1.6442910704459859,-6.209869423020577,-8.373110520868714,-10.0174015913147
GP,2,-2.0745802285443875,1.6940711110203233,1.861132400492344,-25.93809622224324,-27.632167333263563,-29.493299733755908
GP,3,2.129819802597011,6.542435850515919,3.392055989892027,68.72776489533976,62.18532904482384,58.79327305493181
GP,4,-0.36969999329841163,4.226527369353438,3.4220075704640176,-7.754510410342176,-11.981037779695615,-15.403045350159633
GP,5,2.444651493805684,13.567007758350602,7.126699959145321,133.13203701148413,119.56502925313353,112.4383292939882
GP,6,-4.981651430866186,3.974204237905259,7.591764489660067,-295.1666184380498,-299.14082267595506,-306.73258716561514
GP,7,-0.7742307904903695,6.767710639485371,6.60318042260399,-29.739315059423607,-36.507025698908976,-43.11020612151297
RL,0,2.0887798009348337,13.905091079105343,6.4769366016341365,89.03343476415611,75.12834368505077,68.65140708341663
RL,1,1.3852823749389733,8.693579753267997,3.781368634648064,39.68839858012656,30.994818826858562,27.213450192210498
RL,2,0.18546247229563972,8.282017855814448,4.8313948819819394,12.088524900967457,3.8065070451530083,-1.0248878368289311
RL,3,2.095642762368414,21.793499085776133,9.850316532657214,123.60277300956899,101.80927392379286,91.95895739113564
RL,4,0.2623930051083882,12.687727814302523,8.019068672256575,21.66424736484052,8.976519550537997,0.9574508782814224
RL,5,2.6912254485596567,39.65085493838227,18.955487705520525,188.4446919937858,148.79383705540351,129.838349349883
RL,6,-4.397059848685414,11.034294325678886,21.581774522226,-456.54588239464397,-467.58017672032287,-489.16195124254887
RL,7,-0.5086990969780565,10.48114714223208,10.927537574973265,-21.051674374762413,-31.532821516994495,-42.46035909196776
