agent_type,chunk_id,sharpe_ratio
Markowitz,0,-10.632017075688605
Markowitz,1,-4.921880661180134
Markowitz,2,-5.013944982307625
Markowitz,3,-4.6782079635537634
Markowitz,4,-9.04314907390645
Markowitz,5,-6.862300776984435
Markowitz,6,-6.560953944234913
Markowitz,7,-5.062095480727615
Markowitz,8,-4.011697836046716
Markowitz,9,-3.118525646757441
Markowitz,10,-6.213310974130452
Markowitz,11,-5.42190890077012
Markowitz,12,-2.6657602354804495
Markowitz,13,-5.933636363322808
Markowitz,14,-6.6005936450287335
Markowitz,15,-10.709667600907482
GP,0,5.458807545950223
GP,1,9.235801465033818
GP,2,8.298148266790898
GP,3,10.233428856143579
GP,4,10.855223434591673
GP,5,6.159440482201478
GP,6,7.3346645645744015
GP,7,10.79535555620371
GP,8,11.988053893824373
GP,9,10.66563450851514
GP,10,8.307200742533727
GP,11,8.066778892550008
GP,12,10.703510980639885
GP,13,5.26520499117589
GP,14,8.653987118607912
GP,15,4.595121861232494
RL,0,3.126453922114294
RL,1,5.311703128877796
RL,2,6.004090988246789
RL,3,5.598668062078796
RL,4,4.467104041232839
RL,5,-0.304882812733237
RL,6,1.8213559474529937
RL,7,10.965036966912521
RL,8,10.110233868592372
RL,9,7.570265590257257
RL,10,7.1887774099151756
RL,11,7.060579984360373
RL,12,9.777614945255129
RL,13,-0.044864534320687384
RL,14,6.965069950323148
RL,15,-1.5819978675307707
