,agent_type,statistic,mean,std
0,Markowitz,sharpe_ratio,0.2844525073090025,2.342346190463486
1,Markowitz,cost,1.7327511553158526,0.6129594257913551
2,Markowitz,risk,5.588686402390954,5.181520556338351
3,Markowitz,value,16.192391991876008,107.50638336350619
4,Markowitz,wealth,14.459640836560153,107.48771521456666
5,Markowitz,wealth_net_risk,8.8709544341692,107.05060592735569
6,GP,sharpe_ratio,0.3739589701349639,2.35885741612354
7,GP,cost,5.544090013310531,1.6138711275339757
8,GP,risk,5.246200938444788,3.3285245930889706
9,GP,value,23.570080737694518,104.69561621349284
10,GP,wealth,18.025990724383988,104.62755026669205
11,GP,wealth_net_risk,12.779789785939197,104.30343880430732
12,RL,sharpe_ratio,0.2995327616112271,2.3391820296340207
13,RL,cost,2.8434069131439537,1.0758257156360942
14,RL,risk,5.784779787361504,5.207462268482893
15,RL,value,18.0838368476277,109.21267874784571
16,RL,wealth,15.24042993448375,109.16452570263132
17,RL,wealth_net_risk,9.455650147122245,108.87626408903098
