,agent_type,statistic,mean,std
0,Markowitz,sharpe_ratio,0.09096606705979562,2.3929815992283516
1,Markowitz,cost,0.045084757648627606,0.03782272184965158
2,Markowitz,risk,0.33168145690261225,0.28327824006068897
3,Markowitz,value,0.5438927936010289,16.765116699030727
4,Markowitz,wealth,0.4988080359524012,16.766299103758058
5,Markowitz,wealth_net_risk,0.16712657904978895,16.7721398234294
6,GP,sharpe_ratio,0.100770705738771,2.3986517900780564
7,GP,cost,0.12466828600042054,0.10528263989415537
8,GP,risk,0.19390509240783418,0.15232522290961983
9,GP,value,0.5221671348442082,12.675439943504955
10,GP,wealth,0.39749884884378767,12.676771447256185
11,GP,wealth_net_risk,0.20359375643595348,12.68145518622836
12,RL,sharpe_ratio,0.10686135154225358,2.388137345442634
13,RL,cost,1.037746266882052,0.3265899820586433
14,RL,risk,1.8035739596506097,0.5438188784499256
15,RL,value,2.926612416224641,40.346047886666256
16,RL,wealth,1.8888661493425891,40.34482859589139
17,RL,wealth_net_risk,0.08529218969197906,40.331657889088035
