Quantity,Model,Mean,Standard deviation
Final wealth,GP,63.477939777898335,96.48204904969468
Final wealth,M,-97.30064322509914,235.0836999103025
Final wealth,RL,60.91999022085499,108.66500877855884
Final value,GP,71.71772852064173,96.94856639161955
Final value,M,135.90151476768477,222.4175774104201
Final value,RL,72.93978040429269,109.19656177658472
Final cost,GP,8.239788742743396,2.7070944510007715
Final cost,M,233.2021579927839,28.78383102805343
Final cost,RL,12.019790183437703,1.7500461725395713
