Quantity,Model,Mean,Standard deviation
Final wealth,GP,6.374021388860187,77.51402519613983
Final wealth,M,-75.99781915823344,223.02246909806976
Final wealth,RL,11.520489607264084,94.6850705304823
Final value,GP,10.852326049618629,81.23514362218052
Final value,M,31.902255742464977,208.60692384621828
Final value,RL,17.32951658505276,95.53119648181361
Final cost,GP,4.478304660758443,9.378698629039281
Final cost,M,107.9000749006984,216.28557573027092
Final cost,RL,5.809026977788677,5.655672110819161
