Quantity,Model,Mean,Standard deviation
Final wealth,GP,4.559255357195088,1813.9255665679332
Final wealth,M,-6992.227990243378,4715.589882200291
Final wealth,RL,270.62730856625274,3292.1544751338142
Final value,GP,439.74682962581494,1835.26252940117
Final value,M,1459.5943806445266,4445.944048812483
Final value,RL,1120.2106197085,3492.2302103785887
Final cost,GP,435.1875742686198,191.0507452788023
Final cost,M,8451.822370887905,2222.22079404559
Final cost,RL,849.583311142247,580.4974880310887
