Quantity,Model,Mean,Standard deviation
Final wealth,GP,10.090355997033173,94.79985640292507
Final wealth,M,-156.84154872114206,239.57536761753664
Final wealth,RL,2.902983918656037,19.289054970216206
Final value,GP,18.89410681703935,95.08043265519115
Final value,M,60.48799391977027,237.46155177204125
Final value,RL,3.6798273704602025,19.285427606314425
Final cost,GP,8.803750820006178,3.512509112712442
Final cost,M,217.3295426409123,43.814556777952674
Final cost,RL,0.7768434518041657,0.17287897242332093
